# Plate File Name: F:\QuantStudio\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

[Target Call]
Well Position,Sample,Target,Cq
D24,Plate_4,RP,Undetermined
E1,NEC_1,N1,Undetermined
E1,NEC_1,N2,Undetermined
E1,NEC_1,RP,Undetermined
E2,NEC_2,N1,Undetermined
E2,NEC_2,N2,Undetermined
E2,NEC_2,RP,Undetermined
E3,Plate_1,N1,Undetermined
E3,Plate_1,N2,Undetermined
E3,Plate_1,RP,33.9023384291351
E4,Plate_2,N1,Undetermined
E4,Plate_2,N2,Undetermined
E4,Plate_2,RP,Undetermined
E5,Plate_1,N1,Undetermined
E5,Plate_1,N2,Undetermined
E5,Plate_1,RP,Undetermined
E6,Plate_2,N1,Undetermined
E6,Plate_2,N2,Undetermined
E6,Plate_2,RP,Undetermined
E7,Plate_1,N1,Undetermined
E7,Plate_1,N2,Undetermined
E7,Plate_1,RP,Undetermined
E8,Plate_2,N1,Undetermined
E8,Plate_2,N2,Undetermined
E8,Plate_2,RP,Undetermined
E9,Plate_1,N1,Undetermined
E9,Plate_1,N2,Undetermined
E9,Plate_1,RP,Undetermined
E10,Plate_2,N1,Undetermined
E10,Plate_2,N2,Undetermined
E10,Plate_2,RP,Undetermined
E11,Plate_1,N1,Undetermined
E11,Plate_1,N2,Undetermined
E11,Plate_1,RP,Undetermined
E12,Plate_2,N1,Undetermined
E12,Plate_2,N2,Undetermined
E12,Plate_2,RP,Undetermined
E13,Plate_1,N1,Undetermined
