# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"E3","N1","Undetermined"
"E3","N2","Undetermined"
"E3","RP","33.9023384291351"
"E4","N1","Undetermined"
"E4","N2","Undetermined"
"E4","RP","Undetermined"
"E5","N1","Undetermined"
"E5","N2","Undetermined"
"E5","RP","Undetermined"
"E6","N1","Undetermined"
"E6","N2","Undetermined"
"E6","RP","Undetermined"
"E7","N1","Undetermined"
"E7","N2","Undetermined"
"E7","RP","Undetermined"
"E8","N1","Undetermined"
"E8","N2","Undetermined"
"E8","RP","Undetermined"
"E9","N1","Undetermined"
"E9","N2","Undetermined"
"E9","RP","Undetermined"
"E10","N1","Undetermined"
"E10","N2","Undetermined"
"E10","RP","Undetermined"
"E11","N1","Undetermined"
"E11","N2","Undetermined"
"E11","RP","Undetermined"
"E12","N1","Undetermined"
"E12","N2","Undetermined"
"E12","RP","Undetermined"
"E13","N1","Undetermined"
"E13","N2","Undetermined"
"E13","RP","Undetermined"
"E14","N1","Undetermined"
"E14","N2","Undetermined"
"E14","RP","Undetermined"
"E15","N1","Undetermined"
"E15","N2","Undetermined"
"E15","RP","Undetermined"
"E16","N1","Undetermined"
"E16","N2","Undetermined"
"E16","RP","Undetermined"
"E17","N1","Undetermined"
"E17","N2","Undetermined"
"E17","RP","Undetermined"
"E18","N1","Undetermined"
"E18","N2","Undetermined"
"E18","RP","Undetermined"
"E19","N1","Undetermined"
"E19","N2","Undetermined"
"E19","RP","Undetermined"
"E20","N1","Undetermined"
"E20","N2","Undetermined"
"E20","RP","Undetermined"
"E21","N1","Undetermined"
"E21","N2","Undetermined"
"E21","RP","Undetermined"
"E22","N1","Undetermined"
"E22","N2","Undetermined"
"E22","RP","Undetermined"
"E23","N1","Undetermined"
"E23","N2","Undetermined"
"E23","RP","Undetermined"
"E24","N1","Undetermined"
"E24","N2","Undetermined"
"E24","RP","Undetermined"
"F1","N1","Undetermined"
"F1","N2","Undetermined"
"F1","RP","Undetermined"
"F2","N1","Undetermined"
"F2","N2","Undetermined"
"F2","RP","Undetermined"
"F3","N1","Undetermined"
"F3","N2","Undetermined"
"F3","RP","Undetermined"
"F4","N1","Undetermined"
"F4","N2","Undetermined"
"F4","RP","Undetermined"
"F5","N1","Undetermined"
"F5","N2","Undetermined"
"F5","RP","Undetermined"
"F6","N1","Undetermined"
"F6","N2","Undetermined"
"F6","RP","Undetermined"
"F7","N1","Undetermined"
"F7","N2","Undetermined"
"F7","RP","Undetermined"
"F8","N1","Undetermined"
"F8","N2","Undetermined"
"F8","RP","Undetermined"
"F9","N1","Undetermined"
"F9","N2","Undetermined"
"F9","RP","Undetermined"
"F10","N1","Undetermined"
"F10","N2","Undetermined"
"F10","RP","Undetermined"
"F11","N1","Undetermined"
"F11","N2","Undetermined"
"F11","RP","Undetermined"
"F12","N1","Undetermined"
"F12","N2","Undetermined"
"F12","RP","Undetermined"
"F13","N1","Undetermined"
"F13","N2","Undetermined"
