# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Well Call]"
"Well Position","Call","Assessment"
"M12","INVALID","Recollect"
"M13","INVALID","Recollect"
"M14","INVALID","Recollect"
"M15","INVALID","Recollect"
"M16","INVALID","Recollect"
"M17","INVALID","Recollect"
"M18","INVALID","Recollect"
"M19","INVALID","Recollect"
"M20","INVALID","Recollect"
"M21","INVALID","Recollect"
"M22","INVALID","Recollect"
"M23","INVALID","Recollect"
"M24","INVALID","Recollect"
"N1","INVALID","Recollect"
"N2","INVALID","Recollect"
"N3","INVALID","Recollect"
"N4","INVALID","Recollect"
"N5","INVALID","Recollect"
"N6","INVALID","Recollect"
"N7","INVALID","Recollect"
"N8","INVALID","Recollect"
"N9","INVALID","Recollect"
"N10","INVALID","Recollect"
"N11","INVALID","Recollect"
"N12","INVALID","Recollect"
"N13","INVALID","Recollect"
"N14","INVALID","Recollect"
"N15","INVALID","Recollect"
"N16","INVALID","Recollect"
"N17","INVALID","Recollect"
"N18","INVALID","Recollect"
"N19","INVALID","Recollect"
"N20","INVALID","Recollect"
"N21","INVALID","Recollect"
"N22","INVALID","Recollect"
"N23","INVALID","Recollect"
"N24","INVALID","Recollect"
"O1","POSITIVE","Sample is presumed positive"
"O2","INVALID","Recollect"
"O3","INVALID","Recollect"
"O4","INVALID","Recollect"
"O5","INVALID","Recollect"
"O6","INVALID","Recollect"
"O7","INVALID","Recollect"
"O8","INVALID","Recollect"
"O9","INVALID","Recollect"
"O10","INVALID","Recollect"
"O11","INVALID","Recollect"
"O12","INVALID","Recollect"
"O13","INVALID","Recollect"
"O14","INVALID","Recollect"
"O15","INVALID","Recollect"
"O16","INVALID","Recollect"
"O17","INVALID","Recollect"
"O18","INVALID","Recollect"
"O19","INVALID","Recollect"
"O20","INVALID","Recollect"
"O21","INVALID","Recollect"
"O22","INVALID","Recollect"
"O23","INVALID","Recollect"
"O24","INVALID","Recollect"
"P1","INVALID","Recollect"
"P2","INVALID","Recollect"
"P3","INVALID","Recollect"
"P4","INVALID","Recollect"
"P5","INVALID","Recollect"
"P6","INVALID","Recollect"
"P7","INVALID","Recollect"
"P8","INVALID","Recollect"
"P9","INVALID","Recollect"
"P10","INVALID","Recollect"
"P11","INVALID","Recollect"
"P12","INVALID","Recollect"
"P13","INVALID","Recollect"
"P14","INVALID","Recollect"
"P15","INVALID","Recollect"
"P16","INVALID","Recollect"
"P17","INVALID","Recollect"
"P18","INVALID","Recollect"
"P19","INVALID","Recollect"
"P20","INVALID","Recollect"
"P21","INVALID","Recollect"
"P22","INVALID","Recollect"
"P23","INVALID","Recollect"
"P24","INVALID","Recollect"
